TEXT,Label
hope it was a short flight and you did not have to sit near the nigger too long,1
 do they all look different or just any ol pebble are you easily offended,0
i see them white pants i had on had you all feeling some typa way 🥴,0
 fancy meeting you here brother twitter shoah d me too did you get back on yet i am thinking of spending a little time here in the gab ghetto before i go back,1
logan paul is a fucking bozo,1
dear illegal immigrants living in my apartment building my editor busted out thousands of dollars to get his green card has invested in real estate property what have you done do tell thank you rosy,1
also using the bible as a history book is fucking retarded since stories like noah and the flood is a rip off of the demiurge of sumerian lore and passover has no basis in reality,1
my son was helping me clear out my loft when he asked do you have a favourite ghetto blaster i replied hurricane katrina,1
today all i did was sit on the front porch and sip cold non alcoholic beverages and watched  different tractors making trips up and down my street and zero niggers in donks blasting crap noise or beaners in pickup trucks blasting mariachi noises it great being white,1
  normally when  says everyone is completely retarded i assume he just being hyperbolic nope he right completely walking headfirst into the door jamb retarded or maybe just completely fucking infantilized that an alternate possibility,1
you say that free speech has consequences and you compared it to the second ammendment shooting guns everywhere in the most retarded analogy i have ever heard of on the issue all this to defend a pedophile who accuses others of pedophillia but can not take the heat himself,1
trump should make it that you only need 5 x the paperwork to fire a niggerette as a white i managed to get a niggerette fired no it wasn t the one with a heplock in her leg that had already been thru the junky nurse program  ‍  ‍ murse,1
t there are many more murders and violent felonies committed than we ever hear much about those we hear of are what is selected by the kike controlled media to further their narratives those they deep six are more mundane but equally deadly often stemming from deep ghetto nihilism,1
with a high purchasing currency youth could buy more stuff find a girlfriend buy a house and keep the economy going jews will put all humanity in deathcamps and slave factories if humnaity doesnt unite agains the jews and their racism against all mankind,1
idk who needs to hear this but if the cars in the right lane are passing you bitch get over,0
  and here my privilege i am white and i agree with him i am also not a liberal or a muslim so does that make me a jihadist too,0
i envision everything this retarded puerto rican saying to me being typed out on a shitty android phone in between kik sessions with random   thots with  kids,1
the h in space lesbian stands for ham,0
i have jew relations but they are not friends zero jew friends i was raised in the south and i always point out how their retard politics made it very hard for a right wing mischling kid with a military dad raised in the south,1
you traded the flh for the ninja do not be offended but i call sport bikes nigger killers,1
i often wondered if the kike psycho tortured and brain washed him while he was incarcerated,1
this is a great example of a fake white who would be willing to sell you out to the moslem just because you do not agree with him even if you are white traitor,0
i always hate waking kike up before i have to go to work 😩 😩 😂,1
there must be a mistake with a name like husnain rashid he could just be a peaceful sikh who been mistaken for a muslim jihadi 🤷 🏾 ‍ ♂ ️,1
 my immigrant parents did the same thing femi i fully agree with julia best wishes,0
ivanka is a traitor she married the filthy kike who is trumps handler trump cucks when he has to and pushes maga when he can most of the meetings between trump and kushner is about how much he has to cuck that day,1
so let me see if iget this str8 wn1  was an eloaborate ruse conducted by jews in the mid late  that brought wlp na crashing down is that youre saying,0
what up with mexicans bringing ten family members to the grocery store samoans do the same thing they travel in packs it looks so ghetto,1
very nice quote whoever wrote that quote is a genius,0
 either failed in english or a faggot on these streets me i can not reply to such a stupid message tbh,1
please stop posting photos of the moslem faggot and the crooked white whore please im sick of them please stop,1
a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick,1
 this is the non stop c*oning  that is displayed by black women these negresses give a horrible impression on the true b1 sisters who are for black empowerment she was a white sacrifice and she will probably get the lowest sentence tammy the mammy,0
wow i ’ m really single how ghetto,0
so many muzzies where are you thurso,1
theresa may wants to remain in the eu attacking russia attacking america by arresting brittany two huge deals could now be in jeopardy i hope the russians or the arabs get may,0
     i did not even hear that like she reaching cause she wants to look like a woke white person and all the people who liked her reply are stupid 💀,0
all liberals christians conservatives soldiers nationalsocialists feminists gays libertarians trumpters etc want money to be happy and therefore were in reaility national capitalists nc thats the narrative jews dont want you to hear because it would unite us vs them,0
   and you can be racist to everyone by basically saying all white people are racist because of their skin colour is racist itself you need to stop and think,0
the university of pennsylvania has gone total retard by removing a portrait of william shakespeare because he wasn t inclusive enough o brave new world,1
i just know she ain t mine and every bitch tha same first they love you then they hate you it come wit tha game 🤷 🏾 ‍ ♂️,0
picaninny lol word of the year  so far,0
alright i ’ m going to change back my avi before people think i ’ m gay 😂,1
hate white bitches,1
everytime i scroll past this cia nigger i want to vomit a kafkaesque boil covered faggot footsoldier for the greatest marxist ever,1
 she is a hypocrite yaar speaks when muslim girls r raped but consumes fevicol when hindu girls r raped have you seen such a shameless hypocrite,0
being a gay asian is so hard like even most gay asians don ’ t wanna date another asian,0
and we never had no fun well they came down hard on the faggots and they came down hard on the street they came down harder on sam,0
 i am a muslim wish you one and all merry christmas 🎄,0
in a national survey of random samples of homosexuals and heterosexuals  of those males who called themselves homosexual or bisexual versus  of heterosexual males reported having engaged in sadomasochism  of lesbians versus  of heterosexual women also admitted to m family r.i.,0
so as we speed into  the leftist platform to win seats is to beat the russia drum to death dub all caucasians white supremacists and utilize fake news cnn as an efficient propaganda machine lol got it 👍 err the definition of insanity maga,0
 you ’ re gonna kill all of your old friends,0
pay attention to the muslims the blacks are waking up,1
cnn exclusive picture of the plight of refugees on the high seas,0
money grubbing filthy kike in panic mode he has to refund shekels,1
trying to convince carter he should go as slutty bob ross for halloween 🤞,0
justin trudeau is a faggot who loves muzzies more than canadians i have heard he is a convert to goat humping,1
  ching chong ,1
so nice to see an american family in the white house and not the ghetto trash who was ruining our country maga gabfam britfam,1
i love my women but she thinks i ’ m playing,0
dear germany the holocaust was a hoax war propaganda meant to demonize germany jewish communist had been ethnically cleansing the native german people you fought back and lost you are still being ethnically cleansed by the jews replaced with muslims holohoax savegermany stopwhitegenocide,1
im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews,0
shut this billionaire bugatti brick this nigger pole,0
  in  it wasn t litmus test cattle were killed raped and evicted,0
 ya because a broke nigga got spotted so he ’ back now,1
how to tell if a game engineering job in santa ana ca it a literal white supremacist nazi,0
we have been much better than brugge we have had more chances and we have controlled the game the two chances they had they scored cuz courtois is a fucking bum,0
people today treat harmless stuff like cat called and wolf whistle as sexual harassment in the meanwhile real rapists get a free pass because of muh diversity this is why feminazi countries like sweden have turned into rape capitals,1
 thank you governor for looking after the million immigrants in your state trueleadership,0
the difference between hetero and homo couples part i,0
do not forget slick willie he raped juanita and lied to the american public about monica they have both been no goods for a long time ,1
